Carrington Number,g10,g11,h11,Bo,ThetaN,PhiN
1956,-29.26,55.14,18.27,65.0412184695213,116.735251906772,18.3320167803592
1957,8.1,42.72,39.99,59.0746011412688,82.1190757156287,43.1095307470621
1958,-11.73,63.53,29.7,71.1037537687006,99.4955029387423,25.055885302046
1959,-9.54,47.44,47.34,67.6952051477798,98.101421028474,44.9395486829997
1960,-28.93,51.74,48.74,76.7434694290009,112.146134856555,43.289845828705
1961,-25.13,45.91,47.02,70.3571275707018,110.926972359095,45.6843354243476
1962,-44.59,40.29,48.34,77.1252734192885,125.320549517223,50.1897658806631
1963,-34.32,64.09,32.73,79.7285607546004,115.496791260111,27.0528600225354
1964,-22.39,51.12,67.63,87.6834271684222,104.794350198256,52.9151833625664
1965,-36.85,44.06,49.08,75.551654515305,119.192525039449,48.0851061632955
1966,-44.45,48.3,31.26,72.7040583461474,127.689544986639,32.9111448368023
1967,-30.21,39.63,7.58,50.4047358886048,126.823247587306,10.8281390444202
1968,-45.72,38.4,-5.74,59.9818805973937,139.661202583429,-8.50157849064042
1969,-61.87,34.24,-7.82,71.1437059760033,150.417790558631,-12.8650051510309
1970,-53.68,8.87,50.54,74.2597528948218,136.291779372202,80.0457072836217
1971,-61.64,-15.75,-13.32,64.9998038458579,161.497634471941,-139.778321623665
1972,-100.15,-42.08,-32.05,113.260546528789,152.158675517643,-142.705488326314
1973,-91.83,-43.23,16.38,102.809951852921,153.278340519958,159.248124608898
1974,-113.39,-6.21,-2.34,113.584029687276,176.650538973193,-159.35300917503
1975,-112.29,-71.25,0.91,132.990355665364,147.602033386884,179.268262110648
1976,-53.16,-66.47,24.11,88.4620743595808,126.936926601569,160.06327784258
1977,-86.35,-39.89,15.12,96.3127665473275,153.709281591099,159.241169313574
1978,-79.18,-64.15,26.17,105.211994563358,138.813996177979,157.806990731418
1979,-128.39,-51.49,32.01,141.985394671424,154.722182326872,148.131853129174
1980,-112.82,-27.87,29.71,119.949045014956,160.1468361531,133.169705255432
1981,-97.06,17.34,-5.3,98.7390966132464,169.418474773612,-16.9958599883877
1982,-79.72,36.75,1.14,87.7903212205081,155.240366359413,1.77676870482146
1983,-90.03,19.55,-74.04,118.192745124225,139.616231054431,-75.2088338189772
1984,-96.74,53.14,-49.22,120.851543639293,143.176561739177,-42.8068605603035
1985,-88.02,44.25,-20.46,100.619056346201,151.019492227653,-24.8145411072643
1986,-65.61,70.29,-41.17,104.59600900608,128.849037263945,-30.3582021619121
1987,-72.15,51.56,-10.34,89.280298498605,143.913532192662,-11.33984747515
1988,-76.86,52.67,-2.02,93.1969361084365,145.558616863765,-2.19633148812883
1989,-86.39,59.19,15.75,105.899720018516,144.663742470217,14.9006858906058
1990,-98.55,46.91,20.35,111.026001909463,152.576916857481,23.4516543006368
1991,-112.08,62.41,30.19,131.789114117973,148.260604581187,25.8147525906284
1992,-72.43,69.03,18.72,101.792358259351,135.360885530537,15.1729153455253
1993,-90.77,18.94,36.42,99.6209460906691,155.665283257522,62.5235870548388
1994,-62.17,28.21,47.64,83.249520118737,138.313171656417,59.3681268411511
