indx,Year,Month,t,tc,p,tn,pn,td,pd
86,1983,4,176.98200836820098,176.98200836820098,192.88912133891202,158.772939531046,71.7804360077984,101.28252591799999,
87,1983,5,191.09594095941003,168.90405904058997,167.657564575645,155.54814375824301,70.1857502338074,130.086168176567,-3.3289454263103067
88,1983,6,172.375107296137,172.375107296137,165.475965665236,167.85351180284098,69.5305982893661,75.46958921382749,
89,1983,7,184.534496124031,175.465503875969,184.937984496124,168.00953910392099,32.8540441341899,86.2124500372432,25.885718688210435
90,1983,8,171.159670781893,171.159670781893,195.289711934156,165.87402708728902,57.589024614722604,62.49578897535971,
91,1983,9,179.94011627906997,179.94011627906997,186.977906976744,172.259539386592,39.555315565333096,21.2524603096957,-15.138117902426515
92,1983,10,175.109714285714,175.109714285714,157.648,176.32271988468702,30.3872481470983,50.3733420108918,
93,1983,11,163.079611650485,163.079611650485,119.955339805825,176.053859608382,110.220937740375,9.66463703632542,-21.002140587792415
94,1983,12,180.17692307692298,179.82307692307702,142.771794871795,173.324279797438,119.346445961403,54.5565688563898,-47.88656261477498
95,1984,1,175.46274509803902,175.46274509803902,163.718954248366,172.462263591205,-123.385538541832,142.8319638824,-25.14105198552741
96,1984,2,179.09886363636397,179.09886363636397,199.082954545455,166.75635620992202,-156.669775783491,15.647562119520499,18.542293099463986
97,1984,3,183.424686192468,176.575313807532,188.529288702929,161.779102637645,-165.902853868306,60.181504538796204,-43.3488122721246
98,1984,4,185.29022556391,174.70977443609,208.53007518797,163.162852692629,-163.22853659912099,64.5309453822279,-55.23425037467081
99,1984,5,185.666025641026,174.333974358974,217.775641025641,160.148897882951,-141.683805198998,89.6404845982674,-76.72244297441861
100,1984,6,167.364748201439,167.364748201439,192.33956834532398,160.030109643647,-145.777247074769,54.210042444760106,-76.4897728682107
101,1984,7,178.25,178.25,163.959090909091,159.379507943845,-137.66517518435302,1.7894047160030202,1.3471193038733476
102,1984,8,176.04588235294102,176.04588235294102,134.370588235294,160.54949615178802,-138.608031361612,154.792865611979,-2.949501992989714
103,1984,9,179.56226415094298,179.56226415094298,138.641509433962,161.596258467751,-143.057539295733,66.1642792990375,
104,1984,10,197.146153846154,162.853846153846,190.620512820513,166.263075327016,-150.86014681923,141.30410867758698,
105,1984,11,197.15,162.85,160.203125,168.510819876111,-152.59291957016399,62.6543258099589,
106,1984,12,170.677777777778,170.677777777778,192.155555555556,171.384624575737,-148.250700847027,73.30437056506821,-62.773298766110756
107,1985,1,186.08684210526297,173.91315789473703,153.12368421052602,173.65146418051103,-153.90141843323798,42.935726869503604,-51.6178225141667
108,1985,2,193.09607843137297,166.903921568627,176.28431372549,174.98587051512402,-145.392062632907,115.899546378202,
109,1985,3,174.770175438596,174.770175438596,248.668421052632,176.403426901278,-121.24749651831301,86.438354662111,-40.762164379100454
110,1985,4,178.81,178.81,205.628,176.65099315814498,-106.875594330779,137.703954993095,30.76917898920851
111,1985,5,171.3275,171.3275,180.275,176.206575980807,-80.3832305160869,112.16149925892701,-6.651002982484975
112,1985,6,175.53815789473703,175.53815789473703,184.08421052631599,175.82250970907398,-51.88236020301971,28.224796545236202,
113,1985,7,175.98720930232602,175.98720930232602,154.481395348837,175.842954870438,-47.1558285618445,7.938332626865409,1.8144515092472664
114,1985,8,189.78717948718003,170.21282051282,111.54358974358999,174.52724246393998,-56.6446765132279,85.2934683642643,
115,1985,9,176.06666666666698,176.06666666666698,157.07333333333298,172.445936524792,-40.6693530359748,168.098792634857,-1.38813221730939
116,1985,10,180.005714285714,179.994285714286,46.40571428571429,174.436091492162,-72.16934224096829,59.7239643424078,
117,1985,11,177.039473684211,177.039473684211,68.85,175.272535657934,-55.621234753677996,81.3735552510519,
118,1985,12,182.407407407407,177.592592592593,66.537037037037,176.415065411684,-87.20489657189091,122.53693338997299,
119,1986,1,171.266666666667,171.266666666667,108.855555555556,175.754900813256,-103.88493661684299,99.1137224373052,51.62369504410992
120,1986,2,186.927027027027,173.072972972973,79.5513513513514,174.955582062349,-130.172557872542,135.061541083269,
121,1986,3,186.7,173.3,97.3666666666667,175.295844937869,-162.110310932045,141.911146432801,65.92747185545481
122,1986,4,170.736538461538,170.736538461538,157.598076923077,176.257614147098,-162.359261756624,46.340140350701,-35.861170417119226
123,1986,5,180.44871794871798,179.55128205128202,99.7205128205128,177.265756047666,125.70527521037901,120.12298879702699,30.96576313343277
124,1986,6,183.2,176.8,137.966666666667,178.517046596735,-169.077195280131,106.09059458280198,58.675716719998064
125,1986,7,179.281818181818,179.281818181818,179.09545454545503,177.40730483033198,178.047251264362,101.221356645189,-16.560332231684075
126,1986,8,167.995833333333,167.995833333333,235.5625,178.07802103492298,154.365679966624,134.06330362309998,32.90544555039517
127,1986,9,169.38333333333298,169.38333333333298,147.24166666666702,178.080956248657,148.646000839846,124.470119203594,-15.987923885986502
128,1986,10,174.30609756097599,174.30609756097599,148.41097560975598,176.749821334995,-31.145194958696397,52.3703837338125,32.772551520682256
129,1986,11,215.27894736842097,144.721052631579,156.889473684211,176.63301723721,-7.494439872748081,35.3416052114469,-14.424073700211709
130,1986,12,141.377777777778,141.377777777778,220.938888888889,176.21054031703,174.97544706964,163.73703274868,-0.877982347911509
131,1987,1,163.06875,163.06875,154.3375,177.266032374903,-157.540818230268,66.065589623022,
132,1987,2,110.073333333333,110.073333333333,181.96,177.25698078917702,-147.375499892231,98.0945682057795,5.265454164315165
133,1987,3,204.761538461539,155.238461538461,202.35961538461498,178.512640513111,-121.996582361124,53.687243502357795,
