Carrington Number,g10,g11,h11,Bo,thetaN,phiN
1946,78.33,-15.01,-75.13,109.5691831675312,,
1947,61.13,-26.33,-46.98,81.4694188023948,,
1948,45.27,-16.01,-34.59,59.17905964105885,,
1949,40.32,-16.88,-10.81,45.027690369371605,,
1950,27.35,-9.97,27.3,39.90881356292116,,
1951,6.22,17.92,21.07,28.350656077064603,,
1952,-7.86,45.45,12.06,47.67521053965048,,
1953,-8.15,20.53,-16.59,27.62483484113525,,
1954,0.38,28.5,-9.46,30.031416882991053,,
1955,-27.91,31.16,13.96,44.09983333301839,,
1956,-29.26,55.14,18.27,65.04121846952131,,
1957,8.1,42.72,39.99,59.07460114126883,,
1958,-11.73,63.53,29.7,71.10375376870057,,
1959,-9.54,47.44,47.34,67.69520514777984,,
1960,-28.93,51.74,48.74,76.74346942900092,,
1961,-25.13,45.91,47.02,70.35712757070175,,
1962,-44.59,40.29,48.34,77.12527341928845,,
1963,-34.32,64.09,32.73,79.72856075460035,,
1964,-22.39,51.12,67.63,87.6834271684222,,
1965,-36.85,44.06,49.08,75.55165451530496,,
1966,-44.45,48.3,31.26,72.70405834614736,,
1967,-30.21,39.63,7.58,50.40473588860476,,
1968,-45.72,38.4,-5.74,59.98188059739374,,
1969,-61.87,34.24,-7.82,71.14370597600325,,
1970,-53.68,8.87,50.54,74.25975289482183,,
1971,-61.64,-15.75,-13.32,64.99980384585787,,
1972,-100.15,-42.08,-32.05,113.26054652878909,,
1973,-91.83,-43.23,16.38,102.80995185292133,,
1974,-113.39,-6.21,-2.34,113.58402968727601,,
1975,-112.29,-71.25,0.91,132.99035566536395,,
1976,-53.16,-66.47,24.11,88.46207435958078,,
1977,-86.35,-39.89,15.12,96.31276654732746,,
1978,-79.18,-64.15,26.17,105.21199456335766,,
1979,-128.39,-51.49,32.01,141.98539467142385,,
1980,-112.82,-27.87,29.71,119.94904501495624,,
1981,-97.06,17.34,-5.3,98.73909661324637,,
1982,-79.72,36.75,1.14,87.79032122050813,,
1983,-90.03,19.55,-74.04,118.19274512422496,,
1984,-96.74,53.14,-49.22,120.85154363929325,,
1985,-88.02,44.25,-20.46,100.61905634620113,,
1986,-65.61,70.29,-41.17,104.59600900608017,,
1987,-72.15,51.56,-10.34,89.28029849860495,,
1988,-76.86,52.67,-2.02,93.19693610843653,,
1989,-86.39,59.19,15.75,105.89972001851564,,
1990,-98.55,46.91,20.35,111.02600190946262,,
1991,-112.08,62.41,30.19,131.7891141179726,,
1992,-72.43,69.03,18.72,101.79235825935069,,
1993,-90.77,18.94,36.42,99.62094609066911,,
1994,-62.17,28.21,47.64,83.24952011873702,,
