Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1913:180
Coefficients for 360 degrees 
  Beginning: CT1912:000  1996:08:22_05h:35m:14s. 
  Centered:  CT1913:180  1996:09:04_20h:53m:26s. 
  End time:  CT1913:005  1996:09:18_03h:06m:07s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)
 23  12      -1.69       5.11
 23  13      12.66      -1.81
 23  14      12.57      -1.51
 23  15      -2.62       1.31
 23  16      21.98     -13.63
 23  17       7.33       9.37
 23  18       2.22      -7.18
 23  19      18.40       2.58
 23  20      -7.02      -4.19
 23  21       9.04      -6.06
 23  22      11.13      26.48
 23  23     -27.85      12.59
 24   0      68.43       0.00
 24   1      -0.24      14.30
 24   2     -15.04     -22.27
 24   3       5.45       6.42
 24   4      -7.78      26.22
 24   5      15.02     -37.69
 24   6      -3.81     -16.85
 24   7      -5.08      -1.99
 24   8       9.54      -9.06
 24   9      -2.41      -3.65
 24  10      -6.07     -12.17
 24  11       3.91      -4.02
 24  12      -9.76     -11.25
 24  13      -2.26      -7.58
 24  14     -15.17      -5.26
 24  15       1.60     -15.79
 24  16      -2.75      -7.21
 24  17      -7.51     -12.32
 24  18      -2.19      -6.24
 24  19     -13.33     -12.80
 24  20       2.72      -9.56
 24  21      10.68      12.18
 24  22      -8.57     -16.51
 24  23      16.88      -1.67
 24  24       2.08       6.58
 25   0     366.05       0.00
 25   1      -5.93     -12.04
 25   2      25.24      17.90
 25   3       3.80      -1.72
 25   4      10.37     -13.92
 25   5      -4.60      37.16
 25   6      -3.99      -8.11
 25   7      -9.50      -0.04
 25   8     -11.76      10.97
 25   9      -9.16       5.32
 25  10      14.45       8.80
 25  11     -14.22      10.80
 25  12      -9.03       4.60
 25  13      -8.99      20.40
 25  14      -0.35      -2.75
 25  15      -0.39      11.02
 25  16      -1.96       9.27
 25  17       6.68      12.14
 25  18     -12.43       9.08
 25  19      -7.32      -1.64
 25  20       4.78      10.88
 25  21     -16.31      -4.64
 25  22       1.43      -3.37
 25  23      -8.76      18.50
 25  24     -14.87     -19.36
 25  25       5.61     -13.65
 26   0     126.86       0.00
 26   1      -1.32       5.16
 26   2     -23.17     -35.91
 26   3      -2.07      -9.53
 26   4     -11.12      21.60
 26   5       9.38     -42.42
 26   6     -13.62     -14.19
 26   7      -5.89       6.87
 26   8       0.03       2.39
 26   9       3.55      -0.47
 26  10      -1.84       9.83
 26  11      10.77       0.84
 26  12       5.23      10.34
 26  13      -4.96      -8.80
 26  14      14.10      -0.58
 26  15       9.11       1.08
 26  16      11.72      -3.38
 26  17       8.45       3.62
 26  18       1.78     -12.80
 26  19      12.57       7.34
 26  20       3.20       4.35
 26  21      13.39      -1.56
 26  22      -5.35      12.58
 26  23       2.02      -7.91
 26  24      10.75       6.81
 26  25      -7.15      14.67
 26  26       6.91      -9.58
 27   0     533.32       0.00
 27   1      -0.42      -0.20
 27   2      28.38      26.01
 27   3       0.30       1.16
 27   4      11.04      -8.49
 27   5      -5.51      47.52
 27   6      -0.60      -7.15
 27   7      -5.10       8.73
 27   8      -3.59       9.94
 27   9       6.56       8.22
 27  10      15.73      -0.01
 27  11       1.52       3.70
 27  12      -8.04      -3.35
 27  13      10.10      -3.90
 27  14       0.55      -3.73
 27  15      -1.10     -11.74
 27  16       7.45       7.69
 27  17      -7.14      -8.56
 27  18      -0.17      -7.02
 27  19     -10.65       5.81
 27  20      -2.90     -10.10
 27  21      -2.99      -1.26
 27  22      -1.64     -13.76
 27  23       3.02      -3.88
 27  24      -2.04       6.66
 27  25       1.80     -10.11
 27  26       7.75      -2.30
 27  27      -5.56       0.86
 28   0     158.12       0.00
 28   1       1.32      -2.94
 28   2     -25.04     -35.68
 28   3       2.19     -29.37
 28   4      -2.17      13.68
 28   5      15.28     -48.73
 28   6     -13.41     -22.85
 28   7      -8.82       0.43
 28   8       6.33      -2.41
 28   9      -2.64      -3.94
 28  10      -2.96      -2.69
 28  11       0.22       0.04
 28  12      -2.62      -3.55
 28  13      -7.22       1.78
 28  14     -10.34      -5.75
 28  15       6.55       1.91
 28  16     -11.90      -0.06
 28  17       5.23       1.93
 28  18     -10.65       8.70
 28  19      -6.25      -2.06
 28  20      -4.21       5.50
 28  21      -8.05       5.66
 28  22      -6.52       4.40
 28  23      -0.68       4.52
 28  24      -8.94      -5.20
 28  25       2.95       4.11
 28  26     -11.35      -3.42
 28  27       0.24      -1.87
 28  28     -13.49      -0.72
 29   0     558.35       0.00
 29   1       8.16      14.82
 29   2      24.12      22.42
 29   3       0.68       2.39
 29   4       3.80      -6.03
 29   5      -6.60      44.29
 29   6      -3.83      -9.93
 29   7      -9.03       6.66
 29   8      -9.16      13.62
 29   9      -0.92       6.22
 29  10      13.85       7.98
 29  11      -6.13       6.51
 29  12      -3.86       6.80
 29  13       1.54      13.43
 29  14      10.37       0.67
 29  15      -5.55       6.58
 29  16      15.50       9.44
 29  17       4.79      10.65
 29  18      -4.57      -2.29
 29  19       2.77       9.07
 29  20       1.46       2.59
 29  21       6.32       8.43
 29  22       2.54       1.71
 29  23       0.52      -1.67
 29  24      11.86       5.63
 29  25       1.78       5.70
 29  26       3.71       0.81
 29  27      -5.19       9.30
 29  28      -7.80      -5.51
 29  29       0.25      -2.13
